Symbol,Year,Dividend Date,Market Capitalization,Count of total dividends paid for that year,How much was paid,Price at Beginning of Year,Price at End of Year
PG,2021,04/22/2021,345343262720.0,4.0,0.87,129.55282592773438,156.85458374023438
PG,2021,07/22/2021,345343262720.0,4.0,0.87,129.55282592773438,156.85458374023438
PG,2021,10/21/2021,345343262720.0,4.0,0.87,129.55282592773438,156.85458374023438
PG,2022,01/20/2022,345343262720.0,4.0,0.87,156.97984313964844,149.67776489257812
PG,2022,04/21/2022,345343262720.0,4.0,0.913,156.97984313964844,149.67776489257812
PG,2022,07/21/2022,345343262720.0,4.0,0.913,156.97984313964844,149.67776489257812
PG,2022,10/20/2022,345343262720.0,4.0,0.913,156.97984313964844,149.67776489257812
LTC,2021,01/20/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,02/17/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,03/22/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,04/21/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,05/19/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,06/21/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,07/21/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,08/20/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,09/21/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,10/20/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,11/18/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2021,12/22/2021,1365660672.0,12.0,0.19,32.569671630859375,31.374055862426758
LTC,2022,01/20/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,02/17/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,03/22/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,04/20/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,05/20/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,06/21/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,07/20/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,08/22/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,09/21/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,10/20/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,11/21/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
LTC,2022,12/21/2022,1365660672.0,12.0,0.19,32.09792709350586,34.57462692260742
MCD,2021,02/26/2021,211661553664.0,4.0,1.29,198.80337524414062,258.4841003417969
MCD,2021,05/28/2021,211661553664.0,4.0,1.29,198.80337524414062,258.4841003417969
MCD,2021,08/31/2021,211661553664.0,4.0,1.29,198.80337524414062,258.4841003417969
MCD,2021,11/30/2021,211661553664.0,4.0,1.38,198.80337524414062,258.4841003417969
MCD,2022,02/28/2022,211661553664.0,4.0,1.38,259.8093566894531,260.6336975097656
MCD,2022,06/03/2022,211661553664.0,4.0,1.38,259.8093566894531,260.6336975097656
MCD,2022,08/31/2022,211661553664.0,4.0,1.38,259.8093566894531,260.6336975097656
MCD,2022,11/30/2022,211661553664.0,4.0,1.52,259.8093566894531,260.6336975097656
JPM,2021,01/05/2021,410494074880.0,4.0,0.9,117.23675537109375,151.31689453125
JPM,2021,04/05/2021,410494074880.0,4.0,0.9,117.23675537109375,151.31689453125
JPM,2021,07/02/2021,410494074880.0,4.0,0.9,117.23675537109375,151.31689453125
JPM,2021,10/05/2021,410494074880.0,4.0,1.0,117.23675537109375,151.31689453125
JPM,2022,01/05/2022,410494074880.0,4.0,1.0,154.39134216308594,132.0801544189453
JPM,2022,04/05/2022,410494074880.0,4.0,1.0,154.39134216308594,132.0801544189453
JPM,2022,07/05/2022,410494074880.0,4.0,1.0,154.39134216308594,132.0801544189453
JPM,2022,10/05/2022,410494074880.0,4.0,1.0,154.39134216308594,132.0801544189453
CAT,2021,01/19/2021,117019492352.0,4.0,1.03,172.56082153320312,199.3094940185547
CAT,2021,04/23/2021,117019492352.0,4.0,1.03,172.56082153320312,199.3094940185547
CAT,2021,07/19/2021,117019492352.0,4.0,1.11,172.56082153320312,199.3094940185547
CAT,2021,10/22/2021,117019492352.0,4.0,1.11,172.56082153320312,199.3094940185547
CAT,2022,01/19/2022,117019492352.0,4.0,1.11,200.19924926757812,237.1357421875
CAT,2022,04/22/2022,117019492352.0,4.0,1.11,200.19924926757812,237.1357421875
CAT,2022,07/19/2022,117019492352.0,4.0,1.2,200.19924926757812,237.1357421875
CAT,2022,10/21/2022,117019492352.0,4.0,1.2,200.19924926757812,237.1357421875
IBM,2021,02/09/2021,120243314688.0,4.0,1.558317,104.75033569335938,124.33905029296875
IBM,2021,05/07/2021,120243314688.0,4.0,1.567878,104.75033569335938,124.33905029296875
IBM,2021,08/09/2021,120243314688.0,4.0,1.567878,104.75033569335938,124.33905029296875
IBM,2021,11/09/2021,120243314688.0,4.0,1.64,104.75033569335938,124.33905029296875
IBM,2022,02/10/2022,120243314688.0,4.0,1.64,126.3167953491211,137.30813598632812
